user_id,spent_money,items_quantity,recommendation_percentage
76561198059830258,26.97,3,100%
76561198059831638,6443.55,645,98%
76561198059841909,4877.5599999999995,244,99%
76561198059842106,709.29,71,96%
76561198059845202,6443.55,645,98%
76561198059849113,6443.55,645,98%
76561198059854102,6443.55,645,98%
76561198059856143,149.85,15,100%
76561198059856165,1739.1299999999999,87,94%
76561198059857237,2258.87,113,99%
76561198059862761,6443.55,645,98%
76561198059863160,6443.55,645,98%
76561198059864241,139.92999999999998,7,100%
76561198059864382,4877.5599999999995,244,99%
76561198059865237,1739.1299999999999,87,94%
76561198059865927,6443.55,645,98%
76561198059866467,1739.1299999999999,87,94%
76561198059867666,4877.5599999999995,244,99%
76561198059868615,6443.55,645,98%
76561198059870308,6443.55,645,98%
76561198059874185,1739.1299999999999,87,94%
76561198059874904,19.98,2,100%
76561198059876408,99.94999999999999,5,100%
76561198059879783,6443.55,645,98%
76561198059882112,6443.55,645,98%
76561198059888844,219.78,22,100%
76561198059889987,79.96,4,100%
76561198059891232,6443.55,645,98%
76561198059893428,6443.55,645,98%
76561198059896401,6443.55,645,98%
76561198059897383,6443.55,645,98%
76561198059899740,6443.55,645,98%
76561198059900009,1739.1299999999999,87,94%
76561198059900532,6443.55,645,98%
76561198059901197,6443.55,645,98%
76561198059902421,6443.55,645,98%
76561198059902957,6443.55,645,98%
76561198059903238,6443.55,645,98%
76561198059905760,599.6999999999999,30,93%
76561198059907954,709.29,71,96%
76561198059912962,219.78,22,100%
76561198059918386,219.78,22,100%
76561198059920635,6443.55,645,98%
76561198059923613,6443.55,645,98%
76561198059924881,6443.55,645,98%
76561198059927915,6443.55,645,98%
76561198059935046,6443.55,645,98%
76561198059937086,2258.87,113,99%
76561198059940001,1739.1299999999999,87,94%
76561198059943181,6443.55,645,98%
76561198059943583,54.89,11,73%
76561198059944303,1739.1299999999999,87,94%
76561198059947181,1739.1299999999999,87,94%
76561198059948130,6443.55,645,98%
76561198059950511,6443.55,645,98%
76561198059955129,109.89,11,82%
76561198059957016,599.85,15,100%
76561198059963566,1739.1299999999999,87,94%
76561198059966080,6443.55,645,98%
76561198059968199,2997.0,300,98%
76561198059969798,6443.55,645,98%
76561198059969805,6443.55,645,98%
76561198059976332,39.6,40,88%
76561198059976813,709.29,71,96%
76561198059977575,1739.1299999999999,87,94%
76561198059978763,6443.55,645,98%
76561198059979702,19.98,2,100%
76561198059980432,6443.55,645,98%
76561198059981483,709.29,71,96%
76561198059983240,6443.55,645,98%
76561198059985139,6443.55,645,98%
76561198059985823,6443.55,645,98%
76561198059987516,2438.7799999999997,122,97%
76561198059988920,79.96,4,100%
76561198059989136,429.57,43,98%
76561198059989645,99.94999999999999,5,80%
76561198059990081,49.95,5,100%
76561198059990504,219.89,11,100%
76561198059994333,1739.1299999999999,87,94%
76561198059994678,1739.1299999999999,87,94%
76561198059998386,79.96,4,100%
76561198060001613,0.0,82,89%
76561198060002045,1739.1299999999999,87,94%
76561198060004541,6443.55,645,98%
76561198060005647,59.97,3,100%
76561198060005945,219.78,22,100%
76561198060007427,27.96,4,100%
76561198060008733,2258.87,113,99%
76561198060010755,8.99,1,100%
76561198060012371,29.97,3,100%
76561198060013208,179.91,9,100%
76561198060013748,6443.55,645,98%
76561198060013930,1739.1299999999999,87,94%
76561198060018537,259.87,13,100%
76561198060019400,4.99,1,100%
76561198060025649,1739.1299999999999,87,94%
76561198060027840,6443.55,645,98%
76561198060029466,709.29,71,96%
76561198060031056,6443.55,645,98%
76561198060031467,709.29,71,96%
76561198060032013,709.29,71,96%
76561198060032732,6443.55,645,98%
76561198060033965,1739.1299999999999,87,94%
76561198060034143,1739.1299999999999,87,94%
76561198060035120,6443.55,645,98%
76561198060037242,1739.1299999999999,87,94%
76561198060039459,6443.55,645,98%
76561198060039481,4877.5599999999995,244,99%
76561198060040264,224.91,9,56%
76561198060046037,6443.55,645,98%
76561198060053764,6443.55,645,98%
76561198060056041,139.92999999999998,7,100%
76561198060057899,1739.1299999999999,87,94%
76561198060058671,824.45,55,73%
76561198060059463,6443.55,645,98%
76561198060060867,339.66,34,100%
76561198060061789,19.98,2,100%
76561198060062364,6443.55,645,98%
76561198060062926,409.59000000000003,41,98%
76561198060064036,219.89,11,100%
76561198060067718,1739.1299999999999,87,94%
76561198060068927,219.78,22,100%
76561198060069868,6443.55,645,98%
76561198060072424,6443.55,645,98%
76561198060072947,1739.1299999999999,87,94%
76561198060074823,439.78,22,100%
76561198060075168,24.950000000000003,5,100%
76561198060075398,29.97,3,100%
76561198060080505,6443.55,645,98%
76561198060081336,2997.0,300,98%
76561198060082435,0.0,102,86%
76561198060084482,709.29,71,96%
76561198060085315,6443.55,645,98%
76561198060089846,6443.55,645,98%
76561198060093384,219.78,22,100%
76561198060093930,1739.1299999999999,87,94%
76561198060103317,6443.55,645,98%
76561198060103750,6443.55,645,98%
76561198060104521,6443.55,645,98%
76561198060107269,13.98,2,100%
76561198060108106,709.29,71,96%
76561198060108130,6443.55,645,98%
76561198060108179,219.78,22,100%
76561198060109583,1739.1299999999999,87,94%
76561198060110797,709.29,71,96%
76561198060113318,1448.19,9,67%
76561198060117758,6443.55,645,98%
76561198060119117,709.29,71,96%
76561198060119177,1739.1299999999999,87,94%
76561198060121547,6443.55,645,98%
76561198060122780,219.78,22,100%
76561198060124346,6443.55,645,98%
76561198060127892,26.97,3,100%
76561198060128944,49.95,5,100%
76561198060129509,6443.55,645,98%
76561198060134216,6443.55,645,98%
76561198060139833,599.6999999999999,30,93%
76561198060140186,6443.55,645,98%
76561198060140388,6443.55,645,98%
76561198060146647,39.92,8,62%
76561198060147400,6443.55,645,98%
76561198060147957,29.97,3,100%
76561198060150729,1739.1299999999999,87,94%
76561198060150865,51.96,4,100%
76561198060157300,6443.55,645,98%
76561198060163049,6443.55,645,98%
76561198060164501,6443.55,645,98%
76561198060164587,0.0,223,96%
76561198060170459,4877.5599999999995,244,99%
76561198060170945,6443.55,645,98%
76561198060171161,6443.55,645,98%
76561198060172909,4877.5599999999995,244,99%
76561198060177221,149.85,15,100%
76561198060177356,709.29,71,96%
76561198060180460,1739.1299999999999,87,94%
76561198060181391,1739.1299999999999,87,94%
76561198060183287,6443.55,645,98%
76561198060184028,89.91,9,89%
76561198060188228,6443.55,645,98%
76561198060194619,6443.55,645,98%
76561198060201321,89.91,9,89%
76561198060202683,6443.55,645,98%
76561198060204664,6443.55,645,98%
76561198060205838,1448.19,9,67%
76561198060205887,6443.55,645,98%
76561198060207360,1739.1299999999999,87,94%
76561198060207369,0.99,1,100%
76561198060208894,219.78,22,100%
76561198060209088,6443.55,645,98%
76561198060215100,6443.55,645,98%
76561198060218851,1739.1299999999999,87,94%
76561198060223854,1739.1299999999999,87,94%
76561198060225022,2258.87,113,99%
76561198060233096,709.29,71,96%
76561198060235413,1739.1299999999999,87,94%
76561198060236453,6443.55,645,98%
76561198060239835,179.91,9,100%
76561198060240436,179.91,9,100%
76561198060245342,1739.1299999999999,87,94%
76561198060250149,6443.55,645,98%
76561198060253836,109.89,11,91%
76561198060254855,2997.0,300,98%
76561198060259445,6443.55,645,98%
76561198060266772,9.99,1,100%
76561198060275481,6443.55,645,98%
76561198060278565,0.0,329,91%
76561198060278637,6443.55,645,98%
76561198060279169,2997.0,300,98%
76561198060283483,149.85,15,100%
76561198060286612,4877.5599999999995,244,99%
76561198060288744,9.98,2,100%
76561198060290544,709.29,71,96%
76561198060293637,39.6,40,88%
76561198060294413,79.96,4,100%
76561198060295827,6443.55,645,98%
76561198060300166,0.0,12,67%
76561198060302062,2997.0,300,98%
76561198060311546,6443.55,645,98%
76561198060311770,6443.55,645,98%
76561198060316305,6443.55,645,98%
76561198060316826,2258.87,113,99%
76561198060319088,4.99,1,100%
76561198060321534,1739.1299999999999,87,94%
76561198060324840,6443.55,645,98%
76561198060325027,709.29,71,96%
76561198060327866,6443.55,645,98%
76561198060330834,2438.7799999999997,122,97%
76561198060332648,1739.1299999999999,87,94%
76561198060334506,709.29,71,96%
76561198060337601,709.29,71,96%
76561198060347123,4877.5599999999995,244,99%
76561198060347350,199.89999999999998,10,100%
76561198060351003,1739.1299999999999,87,94%
76561198060351220,109.89,11,91%
76561198060351527,6443.55,645,98%
76561198060352175,149.85,15,100%
76561198060355872,1739.1299999999999,87,94%
76561198060357315,259.74,26,100%
76561198060359732,0.0,329,91%
76561198060363012,49.95,5,100%
76561198060363099,99.94999999999999,5,100%
76561198060366001,2997.0,300,98%
76561198060369450,6443.55,645,98%
76561198060372725,1739.1299999999999,87,94%
76561198060375856,6443.55,645,98%
76561198060376192,29.97,3,100%
76561198060377808,39.98,2,50%
76561198060378942,709.29,71,96%
76561198060379919,199.89999999999998,10,100%
76561198060383951,429.57,43,98%
76561198060385675,29.97,3,100%
76561198060385983,2438.7799999999997,122,97%
76561198060386913,79.96,4,100%
76561198060388536,1739.1299999999999,87,94%
76561198060394438,6443.55,645,98%
76561198060398831,1739.1299999999999,87,94%
76561198060399077,219.78,22,100%
76561198060399121,0.0,329,91%
76561198060401260,2438.7799999999997,122,97%
76561198060403082,89.91,9,89%
76561198060404010,4877.5599999999995,244,99%
76561198060406119,6443.55,645,98%
76561198060406659,6443.55,645,98%
76561198060407498,219.89,11,100%
76561198060407701,4877.5599999999995,244,99%
76561198060410130,6443.55,645,98%
76561198060414778,6443.55,645,98%
76561198060415634,6443.55,645,98%
76561198060416305,6443.55,645,98%
76561198060418890,1739.1299999999999,87,94%
76561198060419696,1739.1299999999999,87,94%
76561198060419793,6443.55,645,98%
76561198060420870,6443.55,645,98%
76561198060420892,6443.55,645,98%
76561198060421241,149.85,15,100%
76561198060422085,6443.55,645,98%
76561198060425303,1739.1299999999999,87,94%
76561198060425801,1739.1299999999999,87,94%
76561198060426078,219.78,22,100%
76561198060426293,1739.1299999999999,87,94%
76561198060426534,6443.55,645,98%
76561198060429615,709.29,71,96%
76561198060429887,219.78,22,100%
76561198060430906,709.29,71,96%
76561198060434273,6443.55,645,98%
76561198060437933,6443.55,645,98%
76561198060438024,1739.1299999999999,87,94%
76561198060438359,1739.1299999999999,87,94%
76561198060440669,709.29,71,96%
76561198060440848,1739.1299999999999,87,94%
76561198060441272,1739.1299999999999,87,94%
76561198060443864,2997.0,300,98%
76561198060452479,6443.55,645,98%
76561198060457182,139.92999999999998,7,100%
76561198060457375,4877.5599999999995,244,99%
76561198060459268,6443.55,645,98%
76561198060459594,1739.1299999999999,87,94%
76561198060461230,6443.55,645,98%
76561198060461443,6443.55,645,98%
76561198060464790,6443.55,645,98%
76561198060466111,6443.55,645,98%
76561198060469692,0.0,54,91%
76561198060469749,79.96,4,75%
76561198060469849,1739.1299999999999,87,94%
76561198060473341,1739.1299999999999,87,94%
76561198060473992,1739.1299999999999,87,94%
76561198060476107,6443.55,645,98%
76561198060479885,4877.5599999999995,244,99%
76561198060479913,4877.5599999999995,244,99%
76561198060483116,6443.55,645,98%
76561198060483865,1739.1299999999999,87,94%
76561198060486109,179.91,9,100%
76561198060487505,9.98,2,50%
76561198060488861,6443.55,645,98%
76561198060490502,1739.1299999999999,87,94%
76561198060491916,6443.55,645,98%
76561198060493853,6443.55,645,98%
76561198060494794,6443.55,645,98%
76561198060495473,1739.1299999999999,87,94%
76561198060496164,6443.55,645,98%
76561198060496884,0.0,11,100%
76561198060497355,459.77,23,100%
76561198060500400,709.29,71,96%
76561198060502143,709.29,71,96%
76561198060503397,409.59000000000003,41,98%
76561198060510583,709.29,71,96%
76561198060512995,29.98,2,100%
76561198060517829,6443.55,645,98%
76561198060521018,2997.0,300,98%
76561198060521424,6443.55,645,98%
76561198060521929,6443.55,645,98%
76561198060522166,179.91,9,100%
76561198060522823,6443.55,645,98%
76561198060525133,25662.88,1712,95%
76561198060526242,2997.0,300,98%
76561198060530315,0.0,2,100%
76561198060531590,209.86,14,71%
76561198060531814,6443.55,645,98%
76561198060533519,24.950000000000003,5,100%
76561198060533772,6443.55,645,98%
76561198060542368,709.29,71,96%
76561198060543010,644.57,43,93%
76561198060543822,6443.55,645,98%
76561198060545031,1549.3799999999999,62,94%
76561198060545241,6443.55,645,98%
76561198060545297,39.96,4,75%
76561198060546291,6443.55,645,98%
76561198060546521,6443.55,645,98%
76561198060548066,6443.55,645,98%
76561198060550550,6443.55,645,98%
76561198060556018,224.85,15,100%
76561198060557951,6443.55,645,98%
76561198060558380,219.78,22,100%
76561198060564932,439.89000000000004,11,100%
76561198060565576,6443.55,645,98%
76561198060571370,79.96,4,100%
76561198060571519,1739.1299999999999,87,94%
76561198060572265,259.74,26,100%
76561198060572444,4877.5599999999995,244,99%
76561198060574089,149.85,15,100%
76561198060574704,109.89,11,82%
76561198060576252,99.94999999999999,5,100%
76561198060576805,6443.55,645,98%
76561198060578430,2997.0,300,98%
76561198060588466,709.29,71,96%
76561198060588831,219.89,11,100%
76561198060590895,0.0,12,75%
76561198060591055,1739.1299999999999,87,94%
76561198060591966,0.0,6,100%
76561198060592042,1739.1299999999999,87,94%
76561198060601187,25662.88,1712,95%
76561198060601367,6443.55,645,98%
76561198060602544,19.99,1,100%
76561198060602674,6443.55,645,98%
76561198060604288,259.74,26,100%
76561198060606113,6443.55,645,98%
76561198060615265,6443.55,645,98%
76561198060615273,89.91,9,89%
76561198060617599,2997.0,300,98%
76561198060619286,6443.55,645,98%
76561198060622025,9.99,1,100%
76561198060622238,1739.1299999999999,87,94%
76561198060622421,1739.1299999999999,87,94%
76561198060623460,6443.55,645,98%
76561198060623535,6443.55,645,98%
76561198060625707,2258.87,113,99%
76561198060631899,39.98,2,100%
76561198060637416,1739.1299999999999,87,94%
76561198060645071,0.0,11,100%
76561198060647143,9.99,1,100%
76561198060647875,6443.55,645,98%
76561198060649042,54.89,11,73%
76561198060651050,219.78,22,100%
76561198060652713,6443.55,645,98%
76561198060654968,139.92999999999998,7,100%
76561198060655937,4877.5599999999995,244,99%
76561198060658911,1739.1299999999999,87,94%
76561198060659193,149.85,15,100%
76561198060660007,6443.55,645,98%
76561198060660201,2997.0,300,98%
76561198060660804,29.97,3,100%
76561198060661173,1739.1299999999999,87,94%
76561198060661553,4877.5599999999995,244,99%
76561198060662670,149.85,15,100%
76561198060663389,1739.1299999999999,87,94%
76561198060667290,6443.55,645,98%
76561198060667695,1739.1299999999999,87,94%
76561198060669941,6443.55,645,98%
76561198060670197,6443.55,645,98%
76561198060671842,1739.1299999999999,87,94%
76561198060672192,6443.55,645,98%
76561198060678051,1739.1299999999999,87,94%
76561198060678959,709.29,71,96%
76561198060680880,179.91,9,100%
76561198060682655,24.950000000000003,5,100%
76561198060683752,1739.1299999999999,87,94%
76561198060686817,1739.1299999999999,87,94%
76561198060687165,6443.55,645,98%
76561198060687252,219.78,22,100%
76561198060693343,89.91,9,100%
76561198060695582,1739.1299999999999,87,94%
76561198060697096,6443.55,645,98%
76561198060701569,25662.88,1712,95%
76561198060703039,1739.1299999999999,87,94%
76561198060708793,1739.1299999999999,87,94%
76561198060709724,4877.5599999999995,244,99%
76561198060713420,1739.1299999999999,87,94%
76561198060713478,179.91,9,100%
76561198060714300,124.75,25,96%
76561198060715402,89.91,9,89%
76561198060715854,6443.55,645,98%
76561198060718927,6443.55,645,98%
76561198060719142,79.96,4,100%
76561198060719639,709.29,71,96%
76561198060719971,709.29,71,96%
76561198060720467,149.85,15,100%
76561198060722561,854.4300000000001,57,96%
76561198060732612,6443.55,645,98%
76561198060734387,6443.55,645,98%
76561198060737910,429.57,43,98%
76561198060739596,6443.55,645,98%
76561198060740188,439.89000000000004,11,100%
76561198060741130,1739.1299999999999,87,94%
76561198060742554,2258.87,113,99%
76561198060743985,219.78,22,100%
76561198060747681,709.29,71,96%
76561198060748207,439.78,22,100%
76561198060752282,2997.0,300,98%
7656119806075415,6443.55,645,98%
76561198060754765,2399.6,40,88%
76561198060755222,709.29,71,96%
76561198060755294,25662.88,1712,95%
76561198060755634,6443.55,645,98%
76561198060755721,79.96,4,100%
76561198060756305,6443.55,645,98%
76561198060758376,6443.55,645,98%
76561198060759126,1739.1299999999999,87,94%
76561198060759794,1739.1299999999999,87,94%
76561198060760887,1739.1299999999999,87,94%
76561198060763739,709.29,71,96%
76561198060766619,6443.55,645,98%
76561198060767321,6443.55,645,98%
76561198060768791,6443.55,645,98%
76561198060769921,6443.55,645,98%
76561198060770430,2438.7799999999997,122,97%
76561198060772954,4.99,1,100%
76561198060775001,1739.1299999999999,87,94%
76561198060775625,4877.5599999999995,244,99%
76561198060780035,1739.1299999999999,87,94%
76561198060780501,8.99,1,100%
76561198060784220,1739.1299999999999,87,94%
76561198060785575,709.29,71,96%
76561198060785883,1739.1299999999999,87,94%
76561198060786724,6443.55,645,98%
76561198060787863,219.78,22,100%
76561198060788031,314.79,21,100%
76561198060791089,2258.87,113,99%
76561198060793305,6443.55,645,98%
76561198060795144,1739.1299999999999,87,94%
76561198060797110,439.78,22,100%
76561198060798491,709.29,71,96%
76561198060798536,709.29,71,96%
76561198060799116,139.92999999999998,7,100%
76561198060800406,6443.55,645,98%
76561198060802763,2997.0,300,98%
76561198060803354,6443.55,645,98%
76561198060803529,6443.55,645,98%
76561198060803622,2258.87,113,99%
76561198060807694,6443.55,645,98%
76561198060808273,6443.55,645,98%
76561198060808593,1739.1299999999999,87,94%
76561198060809853,709.29,71,96%
76561198060811426,219.78,22,100%
76561198060814410,219.78,22,100%
76561198060820384,6443.55,645,98%
76561198060822689,24.950000000000003,5,100%
76561198060824434,6443.55,645,98%
76561198060829098,1739.1299999999999,87,94%
76561198060829599,89.91,9,89%
76561198060830655,6443.55,645,98%
76561198060833105,39.92,8,62%
76561198060833836,6443.55,645,98%
76561198060836511,6443.55,645,98%
76561198060837244,119.92,8,100%
76561198060838137,139.92999999999998,7,100%
76561198060839372,709.29,71,96%
76561198060840466,1739.1299999999999,87,94%
76561198060841665,219.78,22,100%
76561198060843008,6443.55,645,98%
76561198060843140,6443.55,645,98%
76561198060843908,6443.55,645,98%
76561198060846570,24.950000000000003,5,100%
76561198060848133,59.96,4,100%
76561198060849885,2997.0,300,98%
76561198060852416,6443.55,645,98%
76561198060853043,2997.0,300,98%
76561198060853501,49.95,5,100%
76561198060854450,439.78,22,100%
76561198060854630,1739.1299999999999,87,94%
76561198060856761,6443.55,645,98%
76561198060859883,4877.5599999999995,244,99%
76561198060860653,1739.1299999999999,87,94%
76561198060861596,224.85,15,100%
76561198060864132,149.85,15,100%
76561198060865535,79.96,4,100%
76561198060866838,259.74,26,100%
76561198060867138,1739.1299999999999,87,94%
76561198060869611,709.29,71,96%
76561198060872080,39.92,8,62%
76561198060872941,79.96,4,75%
76561198060882832,6443.55,645,98%
76561198060883085,199.89999999999998,10,100%
76561198060887022,1739.1299999999999,87,94%
76561198060887693,6443.55,645,98%
76561198060888317,439.89000000000004,11,100%
76561198060891034,89.91,9,89%
76561198060894699,39.92,8,62%
76561198060896394,6443.55,645,98%
76561198060900686,139.92999999999998,7,100%
76561198060900779,39.92,8,62%
76561198060900977,1739.1299999999999,87,94%
76561198060901683,6443.55,645,98%
76561198060903464,189.81,19,95%
76561198060903936,4877.5599999999995,244,99%
76561198060905444,6443.55,645,98%
76561198060907824,1739.1299999999999,87,94%
76561198060910379,4877.5599999999995,244,99%
76561198060919843,89.91,9,89%
76561198060921511,1739.1299999999999,87,94%
76561198060924799,6443.55,645,98%
76561198060927565,709.29,71,96%
76561198060927588,6443.55,645,98%
76561198060928242,0.0,54,91%
76561198060928495,6443.55,645,98%
76561198060929389,709.29,71,96%
76561198060929470,6443.55,645,98%
76561198060930913,709.29,71,96%
76561198060938850,1739.1299999999999,87,94%
76561198060939391,89.91,9,89%
76561198060941201,6443.55,645,98%
76561198060941211,2258.87,113,99%
76561198060942421,644.57,43,93%
76561198060943787,49.95,5,100%
76561198060951629,6443.55,645,98%
76561198060953092,2258.87,113,99%
76561198060961585,6443.55,645,98%
76561198060963062,6443.55,645,98%
76561198060969570,49.95,5,100%
76561198060970633,1739.1299999999999,87,94%
76561198060970743,6443.55,645,98%
76561198060970933,0.0,58,95%
76561198060972753,29.97,3,100%
76561198060986833,6443.55,645,98%
76561198060988138,6443.55,645,98%
76561198060988400,6443.55,645,98%
76561198060993682,6443.55,645,98%
76561198060996316,709.29,71,96%
76561198061000517,6443.55,645,98%
76561198061001172,1739.1299999999999,87,94%
76561198061002659,9.99,1,100%
76561198061003640,1739.1299999999999,87,94%
76561198061005014,1739.1299999999999,87,94%
76561198061011055,1739.1299999999999,87,94%
76561198061012073,19.99,1,100%
76561198061014279,2258.87,113,99%
76561198061018579,6443.55,645,98%
76561198061021230,26.97,3,100%
76561198061022475,0.0,37,97%
76561198061024394,2438.7799999999997,122,97%
76561198061024792,159.92,8,88%
76561198061028435,25662.88,1712,95%
76561198061029739,709.29,71,96%
76561198061032388,6443.55,645,98%
76561198061039000,1739.1299999999999,87,94%
76561198061039259,709.29,71,96%
76561198061039342,6443.55,645,98%
76561198061040271,6443.55,645,98%
76561198061040422,6443.55,645,98%
76561198061041899,6443.55,645,98%
76561198061045044,6443.55,645,98%
76561198061049418,1739.1299999999999,87,94%
76561198061050985,224.85,15,100%
76561198061052357,6443.55,645,98%
76561198061052822,709.29,71,96%
76561198061056821,4877.5599999999995,244,99%
76561198061057790,6443.55,645,98%
76561198061057945,6443.55,645,98%
76561198061065141,1739.1299999999999,87,94%
76561198061065937,2258.87,113,99%
76561198061066119,29.97,3,100%
76561198061067588,759.6199999999999,38,97%
76561198061067708,4877.5599999999995,244,99%
76561198061068051,6443.55,645,98%
76561198061070474,4877.5599999999995,244,99%
76561198061072707,1739.1299999999999,87,94%
76561198061072994,6443.55,645,98%
76561198061074775,2258.87,113,99%
76561198061075560,25662.88,1712,95%
76561198061078144,6443.55,645,98%
76561198061079566,219.78,22,100%
76561198061082609,1739.1299999999999,87,94%
76561198061085183,1739.1299999999999,87,94%
76561198061086063,1739.1299999999999,87,94%
76561198061087200,6443.55,645,98%
76561198061087204,6443.55,645,98%
76561198061088152,2438.7799999999997,122,97%
76561198061089000,1739.1299999999999,87,94%
76561198061091780,29.98,2,100%
76561198061091783,3938.0299999999997,197,97%
76561198061092316,2997.0,300,98%
76561198061093074,709.29,71,96%
76561198061093896,179.91,9,100%
76561198061094471,4877.5599999999995,244,99%
76561198061097219,6443.55,645,98%
76561198061097866,209.86,14,71%
76561198061098443,0.0,27,96%
76561198061099010,39.92,8,62%
76561198061099972,2258.87,113,99%
76561198061101163,6443.55,645,98%
76561198061101864,4877.5599999999995,244,99%
76561198061102188,39.92,8,62%
76561198061105670,1739.1299999999999,87,94%
76561198061105968,4.99,1,100%
76561198061114806,6443.55,645,98%
76561198061117916,6443.55,645,98%
76561198061118788,709.29,71,96%
76561198061119663,709.29,71,96%
76561198061119912,429.57,43,98%
76561198061119963,4.99,1,100%
76561198061120890,0.0,54,91%
76561198061126852,6443.55,645,98%
76561198061133615,79.96,4,75%
76561198061136470,6443.55,645,98%
76561198061138064,6443.55,645,98%
76561198061139537,1739.1299999999999,87,94%
76561198061145747,49.95,5,100%
76561198061148606,4.99,1,100%
76561198061149233,1739.1299999999999,87,94%
76561198061157859,6443.55,645,98%
76561198061159302,6443.55,645,98%
76561198061160628,6443.55,645,98%
76561198061164777,1739.1299999999999,87,94%
76561198061166221,39.98,2,50%
76561198061167144,9.99,1,100%
76561198061167422,4.99,1,100%
76561198061167488,4877.5599999999995,244,99%
76561198061169672,1739.1299999999999,87,94%
76561198061172601,6443.55,645,98%
76561198061172661,709.29,71,96%
76561198061173462,6443.55,645,98%
76561198061174192,89.91,9,89%
76561198061174328,2258.87,113,99%
76561198061176807,6443.55,645,98%
76561198061177795,1739.1299999999999,87,94%
76561198061178366,1739.1299999999999,87,94%
76561198061179484,6443.55,645,98%
76561198061179678,6443.55,645,98%
76561198061188940,429.57,43,98%
76561198061189012,709.29,71,96%
76561198061190361,6443.55,645,98%
76561198061190480,224.85,15,100%
76561198061191308,6443.55,645,98%
76561198061192570,6443.55,645,98%
76561198061192888,6443.55,645,98%
76561198061193458,6443.55,645,98%
76561198061197334,6443.55,645,98%
76561198061197572,6443.55,645,98%
76561198061201808,6443.55,645,98%
76561198061205633,6443.55,645,98%
76561198061205867,1739.1299999999999,87,94%
76561198061206019,0.0,22,77%
76561198061207064,6443.55,645,98%
76561198061207244,2997.0,300,98%
76561198061207612,1739.1299999999999,87,94%
76561198061208180,6443.55,645,98%
76561198061208964,6443.55,645,98%
76561198061215353,6443.55,645,98%
76561198061215875,9.99,1,100%
76561198061217837,6443.55,645,98%
76561198061218221,219.78,22,100%
76561198061226556,2997.0,300,98%
76561198061226557,6443.55,645,98%
76561198061227307,2258.87,113,99%
76561198061227726,1739.1299999999999,87,94%
76561198061229496,6443.55,645,98%
76561198061230129,1739.1299999999999,87,94%
76561198061232425,6443.55,645,98%
76561198061237860,2258.87,113,99%
76561198061243251,6443.55,645,98%
76561198061244491,39.6,40,88%
76561198061247255,1739.1299999999999,87,94%
76561198061249863,6443.55,645,98%
76561198061250622,6443.55,645,98%
76561198061252210,709.29,71,96%
76561198061254922,599.6999999999999,30,93%
76561198061256643,6443.55,645,98%
76561198061256852,6443.55,645,98%
76561198061257862,6443.55,645,98%
76561198061258238,0.0,54,91%
76561198061259638,6443.55,645,98%
76561198061260223,6443.55,645,98%
76561198061262974,6443.55,645,98%
76561198061268123,709.29,71,96%
76561198061268926,6443.55,645,98%
76561198061273070,6443.55,645,98%
76561198061273616,139.92999999999998,7,100%
76561198061277336,709.29,71,96%
76561198061280792,709.29,71,96%
76561198061286579,29.97,3,100%
76561198061286983,6443.55,645,98%
76561198061293043,6443.55,645,98%
76561198061294635,6443.55,645,98%
76561198061295353,6443.55,645,98%
76561198061295721,6443.55,645,98%
76561198061297794,709.29,71,96%
76561198061298599,79.96,4,100%
76561198061299378,279.72,28,96%
76561198061299897,709.29,71,96%
76561198061301529,6443.55,645,98%
76561198061307230,1399.3,70,100%
76561198061307406,1739.1299999999999,87,94%
76561198061308688,6443.55,645,98%
76561198061312047,6443.55,645,98%
76561198061315361,709.29,71,96%
76561198061315534,2997.0,300,98%
76561198061315848,6443.55,645,98%
76561198061316238,2997.0,300,98%
76561198061317262,6443.55,645,98%
76561198061317460,2997.0,300,98%
76561198061319237,1739.1299999999999,87,94%
76561198061320611,6443.55,645,98%
76561198061326503,599.6999999999999,30,93%
76561198061332677,6443.55,645,98%
76561198061333981,2997.0,300,98%
76561198061334989,6443.55,645,98%
76561198061336178,2997.0,300,98%
76561198061339741,1739.1299999999999,87,94%
76561198061340610,6443.55,645,98%
76561198061340833,6443.55,645,98%
76561198061343940,1739.1299999999999,87,94%
76561198061348980,709.29,71,96%
76561198061349817,569.4300000000001,57,96%
76561198061349880,1739.1299999999999,87,94%
76561198061350066,2997.0,300,98%
76561198061351833,54.89,11,73%
76561198061354183,6443.55,645,98%
76561198061354582,149.85,15,100%
76561198061357064,4877.5599999999995,244,99%
76561198061357304,6443.55,645,98%
76561198061357639,6443.55,645,98%
76561198061364327,219.78,22,100%
76561198061371946,6443.55,645,98%
76561198061373470,4.99,1,100%
76561198061375427,4.99,1,no recommendation
76561198061384419,2997.0,300,98%
76561198061388888,6443.55,645,98%
76561198061390729,1739.1299999999999,87,94%
76561198061390844,4877.5599999999995,244,99%
76561198061396500,6443.55,645,98%
76561198061397642,6443.55,645,98%
76561198061399916,709.29,71,96%
76561198061404309,6443.55,645,98%
76561198061404366,6443.55,645,98%
76561198061407062,1739.1299999999999,87,94%
76561198061408032,709.29,71,96%
76561198061409344,6443.55,645,98%
76561198061413004,6443.55,645,98%
76561198061413310,1739.1299999999999,87,94%
76561198061414019,0.0,223,96%
76561198061414151,1739.1299999999999,87,94%
76561198061414696,259.74,26,100%
76561198061415926,25662.88,1712,95%
